"Родительская задача","Название","Описание","Чек-лист"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-02-01 [1.2 Модель данных] Логическая модель данных сквозных сущностей [ТЗ 4.1, 4.3]","Спроектировать модель: схема начисляющей организации, обслуживающая организация, поставщик, услуга, ЛС (ID + символьный номер + единый номер), договор/услуга поставщика, плательщик/солидарный должник/зарегистрированные лица, остатки долга и пени по периодам и услугам, группа, рейтинг, этап воронки, мероприятие (списочное/частное), задание, документ, контакт, история изменений.

Пункт ТЗ: 4.1, 4.3
Пакет работ: 1.2 Модель данных
Фаза: Фаза 0. Фундамент — пункт чек-листа «Модель данных»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx
- Протоколы встреч/ПРОТОКОЛ СОВЕЩАНИЯ № 4 от 23.06.pdf
- Референсы программы _Расчет ЖКУ_/Карточка ЛС- вкладка услуги.jpg
- Референсы программы _Расчет ЖКУ_/Расчет задолженности.jpg","ER-диаграмма согласована тимлидом
Ключ ЛС = обслуживающая организация + номер ЛС; учтены ведущие нули номера
Разделены поля «из АИС» (только чтение) и «внесено в ПМ»
Модель покрывает поля реестров и карточек ТЗ 4.2.1.2–4.2.2.3"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-03-01 [1.3 Каркас веб-интерфейса] Оболочка приложения (Angular): меню модулей, шапка, профиль, выход [ТЗ 3, 4.4.10]","Каркас SPA на Angular: левое меню модулей, переключатель модулей верхнего уровня (реестры, аналитика, контакты/справочники, интеграции — замечания 20 июля), шапка с пользователем и выходом, единое дизайн-руководство без перегруженности элементами.

Пункт ТЗ: 3, 4.4.10
Пакет работ: 1.3 Каркас веб-интерфейса
Фаза: Фаза 0. Фундамент — пункт чек-листа «Оболочка интерфейса»
Макеты/артефакты:
- UI макеты/01_Канбан-доска по группе (Группа 2).png
- UI макеты/06_Канбан-доска — все группы.png
- Скрины odoo
- odoo_screens
- Совещания/20 июля замечания.pdf","Навигация по всем модулям-заглушкам работает
Дизайн-руководство (цвета, типографика, компоненты) утверждено
Работа в нескольких вкладках браузера без потери сессии"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-03-02 [1.3 Каркас веб-интерфейса] Отображение операционной даты и даты последнего обновления из АИС [ТЗ 4.1, 4.2.1.1]","В шапке и в модулях показывать операционную дату (текущий период схемы) и дату последнего обновления (или загрузки) данных из АИС «Расчет-ЖКУ»; значения могут различаться по схемам.

Пункт ТЗ: 4.1, 4.2.1.1
Пакет работ: 1.3 Каркас веб-интерфейса
Фаза: Фаза 0. Фундамент — пункт чек-листа «Операционная дата»
Макеты/артефакты:
- UI макеты/02_Карточка задолженности по ЛС.png
- Основные документы/TZ_ERIP_v1_2_Сводный.docx","Даты берутся из данных импорта по конкретной схеме
При мультисхемном доступе даты показываются для активной схемы
Даты видны в реестре и карточке ЛС"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-03-03 [1.3 Каркас веб-интерфейса] Универсальный конструктор фильтров (базовый компонент) [ТЗ 3, 4.2.1.1, 4.2.7.6]","Переиспользуемый компонент: динамическое добавление условий (поле, оператор, значение), группировка по произвольному полю, период, сохранение избранных фильтров (личные/общие). Контур видимости определяется ролью автоматически — фильтры остаются дополнительным удобством (замечания 17 июля, п. 3).

Пункт ТЗ: 3, 4.2.1.1, 4.2.7.6
Пакет работ: 1.3 Каркас веб-интерфейса
Фаза: Фаза 0. Фундамент — пункт чек-листа «Конструктор фильтров»
Макеты/артефакты:
- UI макеты/05_Универсальный фильтр реестров.png
- Совещания/замечания 17 июля кратко.docx
- Совещания/20 июля замечания.pdf","Компонент используется в реестрах ЛС, договоров, мероприятий, заданий и в отчётах
Сохранённый фильтр восстанавливается после повторного входа
Пользователю не нужно вручную выбирать организацию при входе — контур применяется по правам"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-03-04 [1.3 Каркас веб-интерфейса] Панель уведомлений (входящие оповещения) [ТЗ Глоссарий, 4.2.3.5, 4.2.6.5]","Сворачиваемая панель/колонка уведомлений со счётчиком непрочитанных, хронологией, отметкой «прочитано», переходом в карточку. Основа для заданий на отключение, согласований, новых документов от робота БНП (замечания 20 июля).

Пункт ТЗ: Глоссарий, 4.2.3.5, 4.2.6.5
Пакет работ: 1.3 Каркас веб-интерфейса
Фаза: Фаза 0. Фундамент — пункт чек-листа «Панель уведомлений»
Макеты/артефакты:
- Совещания/20 июля замечания.pdf
- UI макеты/01_Канбан-доска по группе (Группа 2).png","Счётчик непрочитанных обновляется без перезагрузки страницы
Прочитанные уведомления остаются в списке ниже непрочитанных
Клик по уведомлению открывает связанный объект"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-04-01 [1.4 Аутентификация, сессии и аудит доступа] Вход по логину и паролю, политика паролей, блокировка учётной записи [ТЗ 4.4.4]","Экран входа; настраиваемые правила сложности и смены пароля; блокировка после N неудачных попыток; автоблокировка сессии по бездействию; блокировка по запросу администратора. Интеграция с AD/LDAP не выполняется (исключена Заказчиком).

Пункт ТЗ: 4.4.4
Пакет работ: 1.4 Аутентификация, сессии и аудит доступа
Фаза: Фаза 0. Фундамент — пункт чек-листа «Вход и политика паролей»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx
- Совещания/замечания 17 июля кратко.docx","Политика паролей настраивается администратором без кода
Сессия завершается по таймауту бездействия
Заблокированный пользователь не может войти, событие пишется в аудит"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-04-02 [1.4 Аутентификация, сессии и аудит доступа] Журнал аудита действий пользователей, включая просмотр карточек [ТЗ 4.4.4, 4.2.4.10]","Аудит входа/выхода, просмотров карточек и реестров (персональные данные), изменений данных, юридически значимых действий (инициирование взыскания, подписание пакета, списание) с полями дата-время, учётная запись, IP, объект, до/после.

Пункт ТЗ: 4.4.4, 4.2.4.10
Пакет работ: 1.4 Аутентификация, сессии и аудит доступа
Фаза: Фаза 0. Фундамент — пункт чек-листа «Журнал аудита»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx","Просмотр карточки ЛС фиксируется в журнале
Журнал доступен только уполномоченным администраторам, с фильтрами
Записи аудита нельзя изменить или удалить из интерфейса"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-05-01 [1.5 Администрирование: организации, пользователи, роли, контуры доступа] Управление схемами начисляющих организаций [ТЗ 4.2.9.2]","Суперадминистратор создаёт/деактивирует схему начисляющей организации с реквизитами, назначает локальных администраторов, включает/выключает модули для организации (например, ПИР).

Пункт ТЗ: 4.2.9.2
Требования ТЗ: FR-ADM-01, ADM-T-01
Пакет работ: 1.5 Администрирование: организации, пользователи, роли, контуры доступа
Фаза: Фаза 0. Фундамент — пункт чек-листа «Схемы организаций»
Макеты/артефакты:
- UI макеты/17_Организации и пользователи.png
- Основные документы/TZ_ERIP_v1_2_Сводный.docx","Создание схемы с назначением локального администратора и рассылкой приглашения (FR-ADM-01)
Выключенный модуль не отображается пользователям организации
Деактивация схемы не удаляет данные"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-05-02 [1.5 Администрирование: организации, пользователи, роли, контуры доступа] Пользователи и роли (модуль «Контакты»/«Организации и пользователи») [ТЗ 4.2.9.3, Приложение 1]","CRUD учётных записей: ФИО, должность, e-mail, рабочий/мобильный телефон, заметки; назначение ролей: суперадминистратор, локальный администратор, специалист, специалист с правами согласования, специалист ЮС, специалист ЮС с правами согласования, специалист поставщика, наблюдатель (аудитор), специалист «Просмотр», орган госуправления. Иерархия: суперадмин заводит локальных админов и наблюдателей, локальный админ — пользователей своей схемы.

Пункт ТЗ: 4.2.9.3, Приложение 1
Пакет работ: 1.5 Администрирование: организации, пользователи, роли, контуры доступа
Фаза: Фаза 0. Фундамент — пункт чек-листа «Пользователи и роли»
Макеты/артефакты:
- UI макеты/17_Организации и пользователи.png
- Совещания/20 июля замечания.pdf
- Совещания/замечания 17 июля кратко.docx","Все роли Приложения 1 доступны для назначения
Локальный администратор не видит пользователей чужих схем
История изменений учётных записей ведётся"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-05-03 [1.5 Администрирование: организации, пользователи, роли, контуры доступа] Контуры доступа: схема → обслуживающие организации → услуги [ТЗ 4.2.9, 4.2.9.4, 4.4.4]","Назначение пользователю одной/нескольких/всех обслуживающих организаций и услуг в схеме; пустой выбор = доступ ко всем в рамках схемы. Контур поставщика — только услуги, где организация назначена поставщиком в АИС. Фильтрация на уровне сервисов данных (не только UI).

Пункт ТЗ: 4.2.9, 4.2.9.4, 4.4.4
Пакет работ: 1.5 Администрирование: организации, пользователи, роли, контуры доступа
Фаза: Фаза 0. Фундамент — пункт чек-листа «Контуры доступа»
Макеты/артефакты:
- UI макеты/17_Организации и пользователи.png
- Основные документы/TZ_ERIP_v1_2_Сводный.docx","Пользователь обслуживающей организации не получает данные другой организации ни в UI, ни через API
Пустой список ограничений даёт доступ ко всей схеме
Автотесты на изоляцию контуров для каждой роли"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-05-04 [1.5 Администрирование: организации, пользователи, роли, контуры доступа] Мультисхемный доступ и маркировка схемы [ТЗ 4.2.9.4]","Пользователь может быть назначен на несколько схем; в интерфейсе всегда видна активная схема/ОО; массовые операции выполняются только в пределах одной выбранной схемы.

Пункт ТЗ: 4.2.9.4
Требования ТЗ: FR-ADM-03, ADM-T-03
Пакет работ: 1.5 Администрирование: организации, пользователи, роли, контуры доступа
Фаза: Фаза 0. Фундамент — пункт чек-листа «Мультисхемный доступ»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx","Массовое мероприятие по ЛС из разных схем заблокировано с понятным сообщением
Смена активной схемы не требует повторного входа
ADM-T-03 пройден"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-05-05 [1.5 Администрирование: организации, пользователи, роли, контуры доступа] Пользовательские группы прав [ТЗ 4.2.9.3]","Конструктор групп прав с детализацией просмотр/редактирование/согласование по модулям для случаев, когда типовых ролей недостаточно. Право работы с конструктором сценариев — только у администраторов.

Пункт ТЗ: 4.2.9.3
Пакет работ: 1.5 Администрирование: организации, пользователи, роли, контуры доступа
Фаза: Фаза 0. Фундамент — пункт чек-листа «Группы прав»
Макеты/артефакты:
- UI макеты/17_Организации и пользователи.png
- Совещания/замечания 17 июля кратко.docx","Группа прав применяется к пользователю вместе с ролью
Специалист без прав не видит конструктор сценариев
Матрица «роль × модуль» соответствует Приложению 1"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-05-06 [1.5 Администрирование: организации, пользователи, роли, контуры доступа] Деактивация пользователя с переносом заданий и закреплённых ЛС [ТЗ 4.2.9.3, 4.2.6.3]","При деактивации система показывает открытые задания, частные мероприятия и закреплённые ЛС и требует выбрать получателя; перенос массовый, получатель уведомляется.

Пункт ТЗ: 4.2.9.3, 4.2.6.3
Требования ТЗ: FR-ADM-02, FR-TSK-03, ADM-T-02
Пакет работ: 1.5 Администрирование: организации, пользователи, роли, контуры доступа
Фаза: Фаза 0. Фундамент — пункт чек-листа «Деактивация пользователя»
Макеты/артефакты:
- UI макеты/17_Организации и пользователи.png
- UI макеты/15_Реестр заданий.png","Деактивация невозможна без выбора получателя при наличии открытых заданий
Все задания и закреплённые ЛС переданы, получатель уведомлён
ADM-T-02 пройден"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-06-01 [1.6 НСИ (справочники)] Платформа справочников: историчность, деактивация, журнал изменений [ТЗ 4.2.8.1, 4.4.7]","Общий механизм справочников: централизованные (Заказчик) и локальные (схема), поиск/фильтр/сортировка, валидация форматов, запрет физического удаления используемых записей, журнал изменений. В UI справочники организаций группируются по категориям (суд, нотариус, ОПИ, поставщик) — предложение 20 июля.

Пункт ТЗ: 4.2.8.1, 4.4.7
Требования ТЗ: FR-NSI-01, NSI-T-01
Пакет работ: 1.6 НСИ (справочники)
Фаза: Фаза 0. Фундамент — пункт чек-листа «Платформа справочников»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx
- Совещания/20 июля замечания.pdf","Удаление используемой записи невозможно — только деактивация
Локальная запись видна только своей схеме
NSI-T-01 пройден"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-06-02 [1.6 НСИ (справочники)] Справочник обслуживающих организаций и поставщиков услуг (загрузка из АИС) [ТЗ 4.2.8.6]","Начисляющие/обслуживающие организации и поставщики с реквизитами и перечнем услуг загружаются из АИС «Расчет-ЖКУ»; ручное ведение — только суперадминистратор.

Пункт ТЗ: 4.2.8.6
Пакет работ: 1.6 НСИ (справочники)
Фаза: Фаза 0. Фундамент — пункт чек-листа «Справочник организаций»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx","Справочник заполняется при первичной загрузке
Изменение реквизитов в АИС отражается после ночной загрузки
Связь услуга → поставщик используется для маршрутизации заданий на отключение"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-06-03 [1.6 НСИ (справочники)] Справочники категорий должников и категорий задолженности [ТЗ 4.2.8.5, 4.2.1.4]","Базовый централизованный перечень (бывший собственник, наниматель госфонда, умерший, недееспособный, многодетная, малообеспеченная семья, безработный, инвалид и др.) с возможностью локальной настройки по решению Заказчика. Категории задолженности: безнадёжная, спорная, реструктурированная и т.п.

Пункт ТЗ: 4.2.8.5, 4.2.1.4
Пакет работ: 1.6 НСИ (справочники)
Фаза: Фаза 0. Фундамент — пункт чек-листа «Категории должников»
Макеты/артефакты:
- Примеры форм отчетов из АИС _Расчет ЖКУ_/Информация о просроченной задолженности по категориям лицевого счета r99195.pdf
- Протоколы встреч/ПРОТОКОЛ СОВЕЩАНИЯ № 2  г.pdf
- Протоколы встреч/ПРОТОКОЛ СОВЕЩАНИЯ на базе РСЦ Минска 17 06 26.pdf","Базовые категории поставляются как сиды
Локальное дополнение доступно только при включённой настройке
Категории доступны для присвоения в карточке и в фильтрах"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-06-04 [1.6 НСИ (справочники)] Шкала групп задолженности и правил рейтинга (параметр НСИ) [ТЗ 4.2.1.5, 4.2.5.6, 4.2.8.7]","Параметры: границы групп 1–6 (по умолчанию <2, 2–3, 3–6, 6–12, 12–36, >36 мес.), рейтинги A–E с подрейтингами, период N, порог «устойчивой просрочки» M, порог остатка для закрытия цикла. Редактирование — только суперадминистратор, с проверкой непересечения и отсутствия пропусков.

Пункт ТЗ: 4.2.1.5, 4.2.5.6, 4.2.8.7
Требования ТЗ: FR-CFG-05, CFG-T-05
Пакет работ: 1.6 НСИ (справочники)
Фаза: Фаза 0. Фундамент — пункт чек-листа «Шкала групп и рейтинга»
Макеты/артефакты:
- UI макеты/16_Настройка правил рейтинга и групп.png
- Основные документы/TZ_ERIP_v1_2_Сводный.docx","Сохранение с пересекающимися или разрывными границами невозможно
Изменения применяются к следующему регламентному пересчёту, история не переписывается
Изменения фиксируются в журнале"
